Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Non-Fatal,Airplane,AIRBUS INDUSTRIE,A319-100,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS,MD-11F,No,3.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,777-222,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,EMBRAER,ERJ 170-100 SE,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A320,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,GRUMMAN AMERICAN AVN. CORP.,G-1159,No,2.0,Turbo Fan,Personal,IMC
Non-Fatal,Airplane,BOEING,737-3H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,767-323,No,2.0,Turbo Fan,,
,Airplane,BOEING,737,No,2.0,Turbo Fan,,IMC
,Airplane,AIRBUS,A330,No,2.0,Turbo Fan,,
Fatal,Airplane,AIRBUS,A300B4-203,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS,DC-9-82(MD-82),No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2C10,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-300,No,2.0,Turbo Fan,Unknown,
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,VMC
,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,767,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,747-422,No,4.0,Turbo Fan,,VMC
Fatal,Airplane,AIRBUS,A330,No,,Turbo Fan,,
Non-Fatal,Airplane,BOEING,757,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,747,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS INDUSTRIE,A330-323,No,2.0,Turbo Fan,,VMC
